,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
21,22,bébé,baby
22,23,longtemps,long time
23,24,heures,hours
24,25,vont,will
25,26,pendant,while
26,27,revoir,meet again
27,28,aucune,any
28,29,place,square
29,30,parle,speak
30,31,compris,understood
31,32,étaient,were
32,33,attention,Warning
33,34,voici,here is
34,37,donner,give
35,38,type,type
36,39,leurs,their
37,40,donné,given
38,41,train,train
39,42,corps,body
40,43,endroit,place
41,44,yeux,eyes
42,45,façon,way
43,46,écoute,listen
44,47,dont,whose
45,48,trouve,find
46,49,premier,first
47,50,perdu,lost
48,51,main,hand
49,52,première,first
50,53,côté,side
51,54,pouvoir,power
52,55,vieux,old
53,56,sois,be
54,57,tiens,here
55,58,matin,morning
56,59,tellement,so much
57,60,enfant,child
58,61,point,point
59,62,venu,came
60,63,suite,after
61,64,pardon,sorry
62,65,venez,come
63,66,devant,in front of
64,67,vers,towards
65,68,minutes,minutes
66,69,demandé,request
67,71,mis,placed
68,72,belle,beautiful
69,73,droit,law
70,74,aimerais,would like to
71,75,aujourd'hui,today
72,76,mari,husband
73,77,cause,cause
74,78,enfin,finally
75,79,eau,water
76,80,attendez,Wait
77,81,parti,left
78,82,nouvelle,new
79,83,boulot,job
80,84,arrêter,Stop
81,85,dirait,would say
82,86,terre,Earth
83,87,compte,account
84,88,donne,given
85,89,loin,far
86,90,fin,end
87,91,croire,believe
88,92,chérie,sweetheart
89,93,gros,large
90,94,plutôt,rather
91,95,aura,will have
92,96,filles,girls
93,97,jouer,to play
94,98,bureau,office
